,dataset,method,metric,object_class,q2,q5,q8,recall,order_key
28,dashcam,random,savings in frames,traffic sign,0.8497652582159625,0.8497652582159625,0.8497652582159625,0.1,"('dashcam', 'traffic sign')"
29,dashcam,random,time savings,traffic sign,0.8497652582159625,0.8497652582159625,0.8497652582159625,0.1,"('dashcam', 'traffic sign')"
30,dashcam,random,savings in frames,truck,0.8832116788321168,0.8832116788321168,0.8832116788321168,0.1,"('dashcam', 'truck')"
31,dashcam,random,time savings,truck,0.8832116788321168,0.8832116788321168,0.8832116788321168,0.1,"('dashcam', 'truck')"
32,dashcam,this work,savings in frames,bike,2.2027027027027026,2.2027027027027026,2.2027027027027026,0.1,"('dashcam', 'bike')"
33,dashcam,this work,time savings,bike,2.2027027027027026,2.2027027027027026,2.2027027027027026,0.1,"('dashcam', 'bike')"
34,dashcam,this work,savings in frames,bus,1.430232558139535,1.430232558139535,1.430232558139535,0.1,"('dashcam', 'bus')"
35,dashcam,this work,time savings,bus,1.430232558139535,1.430232558139535,1.430232558139535,0.1,"('dashcam', 'bus')"
36,dashcam,this work,savings in frames,motor,1.901098901098901,1.901098901098901,1.901098901098901,0.1,"('dashcam', 'motor')"
37,dashcam,this work,time savings,motor,1.901098901098901,1.901098901098901,1.901098901098901,0.1,"('dashcam', 'motor')"
38,dashcam,this work,savings in frames,person,2.440677966101695,2.440677966101695,2.440677966101695,0.1,"('dashcam', 'person')"
39,dashcam,this work,time savings,person,2.440677966101695,2.440677966101695,2.440677966101695,0.1,"('dashcam', 'person')"
40,dashcam,this work,savings in frames,rider,1.6145833333333333,1.6145833333333333,1.6145833333333333,0.1,"('dashcam', 'rider')"
41,dashcam,this work,time savings,rider,1.6145833333333333,1.6145833333333333,1.6145833333333333,0.1,"('dashcam', 'rider')"
42,dashcam,this work,savings in frames,traffic light,1.3255813953488371,1.3255813953488371,1.3255813953488371,0.1,"('dashcam', 'traffic light')"
43,dashcam,this work,time savings,traffic light,1.3255813953488371,1.3255813953488371,1.3255813953488371,0.1,"('dashcam', 'traffic light')"
44,dashcam,this work,savings in frames,traffic sign,1.13125,1.13125,1.13125,0.1,"('dashcam', 'traffic sign')"
45,dashcam,this work,time savings,traffic sign,1.13125,1.13125,1.13125,0.1,"('dashcam', 'traffic sign')"
46,dashcam,this work,savings in frames,truck,1.5125,1.5125,1.5125,0.1,"('dashcam', 'truck')"
