histogram,xs,widths,n,N1,i
4.399711085722951,1.3835068,0.004261017,82,127,0
3.7785754030326526,1.3877678,0.004261017,82,127,0
4.0891432443778015,1.3920288,0.004261017,82,127,0
3.157439720342353,1.3962898,0.004261017,82,127,0
3.312723641014928,1.4005508,0.004261017,82,127,0
2.95039449277892,1.4048119,0.004261017,82,127,0
2.8468718789972036,1.4090729,0.004261017,82,127,0
1.9151683549617553,1.4133339,0.004261017,82,127,0
2.3292588100886213,1.4175949,0.004261017,82,127,0
2.4845427307611962,1.4218559,0.004261017,82,127,0
1.6046005136166057,1.426117,0.004261017,82,127,0
1.3975552860531728,1.430378,0.004261017,82,127,0
1.2422713653805981,1.434639,0.004261017,82,127,0
1.656361820507464,1.4389,0.004261017,82,127,0
1.3975552860531728,1.443161,0.004261017,82,127,0
1.1387487515988814,1.447422,0.004261017,82,127,0
0.6211356826902991,1.451683,0.004261017,82,127,0
0.6728969895811572,1.4559441,0.004261017,82,127,0
0.46585176201772427,1.4602051,0.004261017,82,127,0
0.46585176201772427,1.4644661,0.004261017,82,127,0
0.46585176201772427,1.4687271,0.004261017,82,127,0
0.46585176201772427,1.4729881,0.004261017,82,127,0
0.5176130689085825,1.4772491,0.004261017,82,127,0
0.414090455126866,1.4815102,0.004261017,82,127,0
0.36232914823600776,1.4857712,0.004261017,82,127,0
0.207045227563433,1.4900322,0.004261017,82,127,0
0.207045227563433,1.4942932,0.004261017,82,127,0
0.25880653445429125,1.4985542,0.004261017,82,127,0
0.05176130689085825,1.5028152,0.004261017,82,127,0
0.1035226137817165,1.5070763,0.004261017,82,127,0
0.207045227563433,1.5113373,0.004261017,82,127,0
0.05176130689085825,1.5155983,0.004261017,82,127,0
0.15528392067257477,1.5198593,0.004261017,82,127,0
0.05176130689085825,1.5241203,0.004261017,82,127,0
0.0,1.5283813,0.004261017,82,127,0
0.05176130689085825,1.5326424,0.004261017,82,127,0
0.0,1.5369034,0.004261017,82,127,0
0.0,1.5411644,0.004261017,82,127,0
0.1035226137817165,1.5454254,0.004261017,82,127,0
0.1035226137817165,1.5496864,0.004261017,82,127,0
0.042996787973446055,1.0527999,0.0044094324,97,121,1
0.021498975212904135,1.0572094,0.004409313,97,121,1
0.06449518196016908,1.0616188,0.0044094324,97,121,1
0.021498393986723027,1.0660281,0.0044094324,97,121,1
0.021498393986723027,1.0704377,0.0044094324,97,121,1
0.04299795042580827,1.074847,0.004409313,97,121,1
0.021498393986723027,1.0792563,0.0044094324,97,121,1
0.06449518196016908,1.0836658,0.0044094324,97,121,1
0.042996787973446055,1.0880752,0.0044094324,97,121,1
0.0,1.0924846,0.004409313,97,121,1
0.021498393986723027,1.096894,0.0044094324,97,121,1
0.2149839398672303,1.1013033,0.0044094324,97,121,1
0.08599357594689211,1.1057129,0.0044094324,97,121,1
