density,density2,xs,samples,est,n,N1,i
0.28982896,0.37567368,1.2609702380073233,1.6942891,1.548780487804878,82,127,0
0.31010714,0.40054986,1.2647737944029567,1.8049204,1.548780487804878,82,127,0
0.33141956,0.42657834,1.26857735079859,1.4873049,1.548780487804878,82,127,0
0.3537862,0.45378554,1.2723809071942234,1.3843738,1.548780487804878,82,127,0
0.3772476,0.4821832,1.2761844635898567,1.2506562,1.548780487804878,82,127,0
0.40182316,0.51176417,1.27998801998549,1.6590799,1.548780487804878,82,127,0
0.42750365,0.54258,1.2837915763811234,1.5112758,1.548780487804878,82,127,0
0.45432594,0.5746023,1.2875951327767567,1.6464216,1.548780487804878,82,127,0
0.48230094,0.60784626,1.29139868917239,1.6477402,1.548780487804878,82,127,0
0.5114519,0.6423664,1.2952022455680234,1.5480258,1.548780487804878,82,127,0
0.54176927,0.67803943,1.2990058019636568,1.4384569,1.548780487804878,82,127,0
0.57325363,0.7149077,1.3028093583592901,1.3981253,1.548780487804878,82,127,0
0.60592014,0.752999,1.3066129147549235,1.7452961,1.548780487804878,82,127,0
0.6397839,0.79232144,1.3104164711505568,1.4129324,1.548780487804878,82,127,0
0.67479855,0.8327566,1.3142200275461902,1.7447144,1.548780487804878,82,127,0
0.7109914,0.87434757,1.3180235839418235,1.83273,1.548780487804878,82,127,0
0.74834853,0.9170077,1.3218271403374569,1.1959974,1.548780487804878,82,127,0
0.78685164,0.96083987,1.3256306967330902,1.5989316,1.548780487804878,82,127,0
0.82647777,1.005631,1.3294342531287235,1.3196192,1.548780487804878,82,127,0
0.86714625,1.0514187,1.3332378095243569,1.2765862,1.548780487804878,82,127,0
0.9089279,1.0982516,1.3370413659199902,1.6548811,1.548780487804878,82,127,0
0.9517928,1.1459459,1.3408449223156236,1.444987,1.548780487804878,82,127,0
0.9955847,1.1945444,1.344648478711257,1.4768875,1.548780487804878,82,127,0
1.0404385,1.2439505,1.3484520351068903,1.3781941,1.548780487804878,82,127,0
1.0861193,1.2940172,1.3522555915025236,1.6018711,1.548780487804878,82,127,0
1.1327682,1.344785,1.356059147898157,1.4775919,1.548780487804878,82,127,0
1.1801953,1.3962231,1.3598627042937903,1.5637505,1.548780487804878,82,127,0
1.228408,1.448081,1.3636662606894236,1.5711259,1.548780487804878,82,127,0
1.2773422,1.5004908,1.367469817085057,1.8899163,1.548780487804878,82,127,0
1.3268887,1.5532323,1.3712733734806903,1.5335768,1.548780487804878,82,127,0
1.3770958,1.6063074,1.3750769298763237,1.5990478,1.548780487804878,82,127,0
1.4278076,1.6595745,1.378880486271957,1.8095418,1.548780487804878,82,127,0
1.4788967,1.7129868,1.3826840426675904,1.7837985,1.548780487804878,82,127,0
1.5304122,1.7664462,1.3864875990632237,1.4213849,1.548780487804878,82,127,0
1.5822728,1.819796,1.390291155458857,1.6271895,1.548780487804878,82,127,0
1.634294,1.872927,1.3940947118544904,1.6939772,1.548780487804878,82,127,0
1.686378,1.9258453,1.3978982682501238,1.4355788,1.548780487804878,82,127,0
1.7386354,1.978507,1.401701824645757,1.3154014,1.548780487804878,82,127,0
1.7907627,2.0306866,1.4055053810413904,1.4679997,1.548780487804878,82,127,0
1.8427649,2.0822082,1.4093089374370238,1.787479,1.548780487804878,82,127,0
1.894484,2.1332784,1.4131124938326571,1.6115932,1.548780487804878,82,127,0
1.9459913,2.183401,1.4169160502282905,1.5189358,1.548780487804878,82,127,0
1.9969478,2.2327929,1.4207196066239238,1.5438198,1.548780487804878,82,127,0
2.0475507,2.2811427,1.4245231630195572,1.6925733,1.548780487804878,82,127,0
2.0973866,2.3286202,1.4283267194151905,1.6347581,1.548780487804878,82,127,0
2.1466007,2.3747654,1.4321302758108239,1.330518,1.548780487804878,82,127,0
2.195093,2.4198306,1.4359338322064572,1.6971072,1.548780487804878,82,127,0
2.2426264,2.4634192,1.4397373886020906,1.5344656,1.548780487804878,82,127,0
2.2890925,2.505651,1.443540944997724,1.7148594,1.548780487804878,82,127,0
2.3346684,2.54643,1.4473445013933572,1.4597608,1.548780487804878,82,127,0
2.3789725,2.5855834,1.4511480577889906,1.5957785,1.548780487804878,82,127,0
2.422047,2.6230164,1.454951614184624,1.3825082,1.548780487804878,82,127,0
2.4636447,2.6587996,1.4587551705802573,1.6548486,1.548780487804878,82,127,0
