,method,q2,q5,q8,dataset,object_class,metric,recall,order_key,norder_key
176,BlazeIt,1.0858620689655174,1.0858620689655174,1.0858620689655174,dashcam,truck,savings in frames,0.9,"('dashcam', 'truck')",7
177,random,1.0,1.0,1.0,dashcam,truck,savings in frames,0.9,"('dashcam', 'truck')",7
178,this work,1.4690926055516675,1.4690926055516675,1.4690926055516675,dashcam,truck,savings in frames,0.9,"('dashcam', 'truck')",7
179,random+,1.3278515707358212,1.3278515707358212,1.3278515707358212,dashcam,truck,savings in frames,0.9,"('dashcam', 'truck')",7
180,BlazeIt,0.028367440253061083,0.028367440253061083,0.028367440253061083,dashcam,truck,time savings,0.1,"('dashcam', 'truck')",7
181,random,1.0,1.0,1.0,dashcam,truck,time savings,0.1,"('dashcam', 'truck')",7
182,this work,1.9636363636363636,1.9636363636363636,1.9636363636363636,dashcam,truck,time savings,0.1,"('dashcam', 'truck')",7
183,random+,1.2134831460674158,1.2134831460674158,1.2134831460674158,dashcam,truck,time savings,0.1,"('dashcam', 'truck')",7
184,BlazeIt,0.25248547846956704,0.25248547846956704,0.25248547846956704,dashcam,truck,time savings,0.5,"('dashcam', 'truck')",7
185,random,1.0,1.0,1.0,dashcam,truck,time savings,0.5,"('dashcam', 'truck')",7
186,this work,1.718208092485549,1.718208092485549,1.718208092485549,dashcam,truck,time savings,0.5,"('dashcam', 'truck')",7
187,random+,1.3450226244343892,1.3450226244343892,1.3450226244343892,dashcam,truck,time savings,0.5,"('dashcam', 'truck')",7
188,BlazeIt,0.660709183312704,0.660709183312704,0.660709183312704,dashcam,truck,time savings,0.9,"('dashcam', 'truck')",7
189,random,1.0,1.0,1.0,dashcam,truck,time savings,0.9,"('dashcam', 'truck')",7
190,this work,1.4690926055516675,1.4690926055516675,1.4690926055516675,dashcam,truck,time savings,0.9,"('dashcam', 'truck')",7
191,random+,1.3278515707358212,1.3278515707358212,1.3278515707358212,dashcam,truck,time savings,0.9,"('dashcam', 'truck')",7
