,dataset,method,metric,object_class,q2,q5,q8,recall,order_key,norder_key
19,bdd,random,time savings,bus,0.8482758620689655,0.8482758620689655,0.8482758620689655,0.1,"('bdd', 'bus')",5
20,bdd,random,savings in frames,motor,0.9664804469273743,0.9664804469273743,0.9664804469273743,0.1,"('bdd', 'motor')",3
21,bdd,random,time savings,motor,0.9664804469273742,0.9664804469273742,0.9664804469273742,0.1,"('bdd', 'motor')",3
22,bdd,random,savings in frames,person,0.8228571428571428,0.8228571428571428,0.8228571428571428,0.1,"('bdd', 'person')",1
23,bdd,random,time savings,person,0.8228571428571428,0.8228571428571428,0.8228571428571428,0.1,"('bdd', 'person')",1
24,bdd,random,savings in frames,rider,0.8288770053475936,0.8288770053475936,0.8288770053475936,0.1,"('bdd', 'rider')",4
25,bdd,random,time savings,rider,0.8288770053475936,0.8288770053475936,0.8288770053475936,0.1,"('bdd', 'rider')",4
26,bdd,random,savings in frames,traffic light,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.1,"('bdd', 'traffic light')",7
27,bdd,random,time savings,traffic light,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.1,"('bdd', 'traffic light')",7
28,bdd,random,savings in frames,traffic sign,0.8497652582159625,0.8497652582159625,0.8497652582159625,0.1,"('bdd', 'traffic sign')",8
29,bdd,random,time savings,traffic sign,0.8497652582159625,0.8497652582159625,0.8497652582159625,0.1,"('bdd', 'traffic sign')",8
30,bdd,random,savings in frames,truck,0.8832116788321168,0.8832116788321168,0.8832116788321168,0.1,"('bdd', 'truck')",6
31,bdd,random,time savings,truck,0.8832116788321168,0.8832116788321168,0.8832116788321168,0.1,"('bdd', 'truck')",6
32,bdd,this work,savings in frames,bike,2.2027027027027026,2.2027027027027026,2.2027027027027026,0.1,"('bdd', 'bike')",2
33,bdd,this work,time savings,bike,2.2027027027027026,2.2027027027027026,2.2027027027027026,0.1,"('bdd', 'bike')",2
34,bdd,this work,savings in frames,bus,1.430232558139535,1.430232558139535,1.430232558139535,0.1,"('bdd', 'bus')",5
35,bdd,this work,time savings,bus,1.4302325581395348,1.4302325581395348,1.4302325581395348,0.1,"('bdd', 'bus')",5
36,bdd,this work,savings in frames,motor,1.901098901098901,1.901098901098901,1.901098901098901,0.1,"('bdd', 'motor')",3
37,bdd,this work,time savings,motor,1.901098901098901,1.901098901098901,1.901098901098901,0.1,"('bdd', 'motor')",3
38,bdd,this work,savings in frames,person,2.440677966101695,2.440677966101695,2.440677966101695,0.1,"('bdd', 'person')",1
39,bdd,this work,time savings,person,2.440677966101695,2.440677966101695,2.440677966101695,0.1,"('bdd', 'person')",1
40,bdd,this work,savings in frames,rider,1.6145833333333333,1.6145833333333333,1.6145833333333333,0.1,"('bdd', 'rider')",4
41,bdd,this work,time savings,rider,1.6145833333333335,1.6145833333333335,1.6145833333333335,0.1,"('bdd', 'rider')",4
42,bdd,this work,savings in frames,traffic light,1.3255813953488371,1.3255813953488371,1.3255813953488371,0.1,"('bdd', 'traffic light')",7
