,dataset,method,metric,object_class,q2,q5,q8,recall,order_key
78,dashcam,random,savings in frames,truck,0.9876977152899824,0.9876977152899824,0.9876977152899824,0.9,6
79,dashcam,random,time savings,truck,0.9876977152899825,0.9876977152899825,0.9876977152899825,0.9,6
80,dashcam,this work,savings in frames,bike,1.9415564441710242,1.9415564441710242,1.9415564441710242,0.9,2
81,dashcam,this work,time savings,bike,1.9415564441710242,1.9415564441710242,1.9415564441710242,0.9,2
82,dashcam,this work,savings in frames,bus,1.4476839877733365,1.4476839877733365,1.4476839877733365,0.9,5
83,dashcam,this work,time savings,bus,1.4476839877733365,1.4476839877733365,1.4476839877733365,0.9,5
84,dashcam,this work,savings in frames,motor,1.6110832497492478,1.6110832497492478,1.6110832497492478,0.9,3
85,dashcam,this work,time savings,motor,1.611083249749248,1.611083249749248,1.611083249749248,0.9,3
86,dashcam,this work,savings in frames,person,1.6984966592427617,1.6984966592427617,1.6984966592427617,0.9,1
87,dashcam,this work,time savings,person,1.6984966592427617,1.6984966592427617,1.6984966592427617,0.9,1
88,dashcam,this work,savings in frames,rider,1.7385745375408053,1.7385745375408053,1.7385745375408053,0.9,4
89,dashcam,this work,time savings,rider,1.738574537540805,1.738574537540805,1.738574537540805,0.9,4
90,dashcam,this work,savings in frames,traffic light,1.4282850779510021,1.4282850779510021,1.4282850779510021,0.9,7
91,dashcam,this work,time savings,traffic light,1.4282850779510023,1.4282850779510023,1.4282850779510023,0.9,7
92,dashcam,this work,savings in frames,traffic sign,1.2167222840192806,1.2167222840192806,1.2167222840192806,0.9,8
93,dashcam,this work,time savings,traffic sign,1.2167222840192806,1.2167222840192806,1.2167222840192806,0.9,8
94,dashcam,this work,savings in frames,truck,1.4027683231223054,1.4027683231223054,1.4027683231223054,0.9,6
95,dashcam,this work,time savings,truck,1.4027683231223054,1.4027683231223054,1.4027683231223054,0.9,6
0,dashcam,random,savings in frames,geomean,,0.8512589795850872,,0.1,0
1,dashcam,random,time savings,geomean,,0.8512589795850872,,0.1,0
2,dashcam,random,savings in frames,geomean,,0.8478696391515791,,0.5,0
3,dashcam,random,time savings,geomean,,0.8478696391515791,,0.5,0
4,dashcam,random,savings in frames,geomean,,0.9861261169978622,,0.9,0
5,dashcam,random,time savings,geomean,,0.9861261169978623,,0.9,0
6,dashcam,this work,savings in frames,geomean,,1.5825059440157776,,0.1,0
7,dashcam,this work,time savings,geomean,,1.5825059440157776,,0.1,0
8,dashcam,this work,savings in frames,geomean,,1.8184817061482808,,0.5,0
9,dashcam,this work,time savings,geomean,,1.8184817061482808,,0.5,0
10,dashcam,this work,savings in frames,geomean,,1.545784727567032,,0.9,0
11,dashcam,this work,time savings,geomean,,1.545784727567032,,0.9,0
