,method,q2,q5,q8,dataset,object_class,metric,recall,order_key,norder_key
105,random,1.0,1.0,1.0,bdd,person,savings in frames,0.9,"('bdd', 'person')",1
106,this work,1.7602261390089793,1.7602261390089793,1.7602261390089793,bdd,person,savings in frames,0.9,"('bdd', 'person')",1
107,random+,1.0273680124223603,1.0273680124223603,1.0273680124223603,bdd,person,savings in frames,0.9,"('bdd', 'person')",1
108,BlazeIt,0.1264467297282597,0.1264467297282597,0.1264467297282597,bdd,person,time savings,0.1,"('bdd', 'person')",1
109,random,1.0,1.0,1.0,bdd,person,time savings,0.1,"('bdd', 'person')",1
110,this work,2.966101694915254,2.966101694915254,2.966101694915254,bdd,person,time savings,0.1,"('bdd', 'person')",1
111,random+,1.215277777777778,1.215277777777778,1.215277777777778,bdd,person,time savings,0.1,"('bdd', 'person')",1
112,BlazeIt,0.5822777496126873,0.5822777496126873,0.5822777496126873,bdd,person,time savings,0.5,"('bdd', 'person')",1
113,random,1.0,1.0,1.0,bdd,person,time savings,0.5,"('bdd', 'person')",1
114,this work,3.0597539543057994,3.0597539543057994,3.0597539543057994,bdd,person,time savings,0.5,"('bdd', 'person')",1
115,random+,1.2048442906574395,1.2048442906574395,1.2048442906574395,bdd,person,time savings,0.5,"('bdd', 'person')",1
116,BlazeIt,0.8100726305282561,0.8100726305282561,0.8100726305282561,bdd,person,time savings,0.9,"('bdd', 'person')",1
117,random,1.0,1.0,1.0,bdd,person,time savings,0.9,"('bdd', 'person')",1
118,this work,1.7602261390089793,1.7602261390089793,1.7602261390089793,bdd,person,time savings,0.9,"('bdd', 'person')",1
119,random+,1.0273680124223603,1.0273680124223603,1.0273680124223603,bdd,person,time savings,0.9,"('bdd', 'person')",1
120,BlazeIt,1.0935672514619883,1.0935672514619883,1.0935672514619883,bdd,rider,savings in frames,0.1,"('bdd', 'rider')",4
121,random,1.0,1.0,1.0,bdd,rider,savings in frames,0.1,"('bdd', 'rider')",4
